index,headline,source_url,publish_date,publisher,crawl_type
29,Wuhan virus: S'pore public hospitals in 'outbreak response mode',https://www.straitstimes.com/singapore/health/wuhan-virus-public-hospitals-in-singapore-in-outbreak-response-mode,21/01/2020 21:21,The Straits Times,auto
30,"Wuhan virus and Sars are as different as cats and dogs, researchers say",https://www.straitstimes.com/singapore/wuhan-virus-vs-sars-as-different-as-cat-and-dog,21/01/2020 21:27,The Straits Times,auto
31,Airlines and airports step up checks for Wuhan virus; at least one airline equips planes with hazmat suits,https://www.straitstimes.com/asia/airlines-and-airports-step-up-checks-for-wuhan-virus-at-least-one-airline-equips-planes-with,21/01/2020 21:28,The Straits Times,auto
32,Doctors advise good hygiene as Wuhan virus outbreak develops,https://www.straitstimes.com/singapore/health/docs-advise-good-hygiene-as-wuhan-outbreak-develops,21/01/2020 21:46,The Straits Times,auto
33,North Korea suspends foreign tourism over coronavirus fears: Tour companies,https://www.straitstimes.com/asia/east-asia/north-korea-to-temporarily-ban-tourists-over-wuhan-virus-fears-says-tour-company,21/01/2020 23:30,The Straits Times,auto
34,US confirms first case of Wuhan virus,https://www.straitstimes.com/world/united-states/cdc-confirms-first-us-case-of-china-coronavirus,22/01/2020 02:55,The Straits Times,auto
35,Experts advise protective steps against the virus,https://www.straitstimes.com/singapore/health/experts-advise-protective-steps-against-the-virus,22/01/2020 05:00,The Straits Times,auto
36,China battles to contain Wuhan virus ahead of new year travel crunch,https://www.straitstimes.com/asia/east-asia/china-battles-to-contain-virus-ahead-of-new-year-travel-crunch,22/01/2020 05:00,The Straits Times,auto
37,"New virus won't cause massive outbreak like Sars did, says top expert",https://www.straitstimes.com/asia/east-asia/new-virus-wont-cause-massive-outbreak-like-sars-did-says-top-expert,22/01/2020 05:00,The Straits Times,auto
38,Timeline of how new coronavirus has spread,https://www.straitstimes.com/asia/east-asia/timeline-of-how-new-coronavirus-has-spread,22/01/2020 05:00,The Straits Times,auto
39,In Brief: Philippines probes first possible case of virus,https://www.straitstimes.com/world/in-brief-philippines-probes-first-possible-case-of-virus,22/01/2020 05:00,The Straits Times,auto
40,Singapore public hospitals in 'outbreak response mode',https://www.straitstimes.com/singapore/health/singapore-public-hospitals-in-outbreak-response-mode,22/01/2020 05:00,The Straits Times,auto
41,"Virus worries rattle Asian markets, and the gloom spreads to Europe",https://www.straitstimes.com/asia/east-asia/virus-worries-rattle-asian-markets-and-the-gloom-spreads-to-europe,22/01/2020 05:00,The Straits Times,auto
42,Wuhan virus: China faces social media backlash over new virus outbreak,https://www.straitstimes.com/asia/east-asia/wuhan-virus-china-faces-social-media-backlash-with-new-virus-outbreak,22/01/2020 07:11,The Straits Times,auto
43,Wuhan virus: Chinese doctor investigating outbreak says he was infected,https://www.straitstimes.com/asia/east-asia/wuhan-virus-chinese-doctor-investigating-outbreak-says-he-was-infected,22/01/2020 07:16,The Straits Times,auto
44,Wuhan virus: Russia boosts border checks to thwart virus spread,https://www.straitstimes.com/world/europe/wuhan-virus-russia-boosts-border-checks-to-thwart-virus-spread,22/01/2020 07:20,The Straits Times,auto
45,Cathay Pacific says cabin crew can wear masks on mainland China flights due to Wuhan virus,https://www.straitstimes.com/asia/east-asia/cathay-cabin-crew-ask-to-wear-face-masks-on-all-flights-as-china-virus-spreads,22/01/2020 09:00,The Straits Times,auto
46,Taiwan advises people not to go to Wuhan amid China virus outbreak,https://www.straitstimes.com/asia/east-asia/taiwan-advises-people-not-to-go-to-wuhan-amid-china-virus-outbreak,22/01/2020 09:13,The Straits Times,auto
47,China stocks tumble on Wuhan virus spread but other Asia markets steady,https://www.straitstimes.com/business/companies-markets/asia-stocks-arrest-slide-but-investors-on-edge-over-wuhan-virus,22/01/2020 09:17,The Straits Times,auto
