index,headline,source_url,publish_date,publisher
91,Grand Hyatt Singapore taking steps to clean premises after 2 coronavirus cases reported overseas,https://www.todayonline.com/singapore/singapore-business-meeting-linked-malaysian-korean-coronavirus-cases,05-02-2020,Today Online
92,Singapore confirms 5th case of Wuhan virus,https://www.todayonline.com/singapore/singapore-confirms-5th-case-wuhan-virus,28-01-2020,Today Online
93,Singapore must come together to respond to Wuhan virus: DPM Heng,https://www.todayonline.com/singapore/singapore-must-come-together-respond-wuhan-virus-dpm-heng,25-01-2020,Today Online
94,Singapore planning second evacuation flight from Wuhan: MFA,https://www.todayonline.com/singapore/singapore-planning-second-evacuation-flight-wuhan-mfa,07-02-2020,Today Online
95,Singapore working with international body to develop vaccine for novel coronavirus,https://www.todayonline.com/singapore/singapore-working-international-body-develop-vaccine-novel-coronavirus,11-02-2020,Today Online
96,"Singaporeans, cabin crew return from Hangzhou on Scoot relief flight, 15 under quarantine",https://www.todayonline.com/singapore/singaporeans-cabin-crew-return-hangzhou-scoot-relief-flight-15-under-quarantine,27-01-2020,Today Online
97,Smooth traffic at checkpoints as authorities begin temperature checks,https://www.todayonline.com/singapore/smooth-traffic-checkpoints-authorities-begin-temperature-checks,24-01-2020,Today Online
98,Major summit on eve of Singapore Airshow cancelled on coronavirus fears,https://www.todayonline.com/singapore/some-exhibitors-drop-out-singapore-airshow-due-wuhan-coronavirus,03-02-2020,Today Online
99,"Several public hospitals reschedule non-urgent procedures, outpatient appointments to manage Wuhan virus situation",https://www.todayonline.com/singapore/some-hospitals-reschedule-non-urgent-procedures-outpatient-appointments-manage-wuhan-virus,30-01-2020,Today Online
100,S’pore must prepare for long haul given uncertainty over Wuhan coronavirus: Chan Chun Sing,https://www.todayonline.com/singapore/spore-must-prepare-long-haul-given-uncertainty-over-wuhan-coronavirus-chan-chun-sing,02-02-2020,Today Online
101,S’poreans must be prepared for Wuhan virus spreading in the community: PM Lee ,https://www.todayonline.com/singapore/sporeans-must-be-prepared-wuhan-virus-spread-community-pm-lee,28-01-2020,Today Online
102,Time to turn off aircon but not to ditch pets: Singapore experts weigh in on coronavirus outbreak,https://www.todayonline.com/singapore/time-turn-aircon-not-abandon-pets-singapore-experts-answer-questions-wuhan-coronavirus,10-02-2020,Today Online
