index,headline,source_url,publish_date,publisher,crawl_type,Date
32,"China coronavirus: With travel ban issued for Wuhan, many in city rush to escape",https://www.todayonline.com/world/china-coronavirus-travel-ban-issued-wuhan-many-city-rush-escape,2020-23-01,Today Online,auto,2020-01-23
33,China SARS fighter returns to spotlight in coronavirus battle,https://www.todayonline.com/world/china-sars-fighter-returns-spotlight-coronavirus-battle-0,2020-23-01,Today Online,auto,2020-01-23
34,PM Lee says Singapore 'better prepared' for another virus after Sars outbreak,https://www.todayonline.com/singapore/pm-lee-says-singapore-better-prepared-another-virus-after-sars-outbreak,2020-23-01,Today Online,auto,2020-01-23
35,"China locks down epicentre of virus outbreak, nearly 600 infected",https://www.todayonline.com/world/chinas-wuhan-shuts-down-transport-global-alarm-mounts-over-virus-spread,2020-23-01,Today Online,auto,2020-01-23
36,Scoot cancels flights to China's Wuhan over virus outbreak,https://www.todayonline.com/singapore/scoot-cancels-flights-chinas-wuhan-over-virus-outbreak,2020-23-01,Today Online,auto,2020-01-23
37,"Schools, childcare centres, SAF roll out measures to prevent spread of Wuhan virus in Singapore",https://www.todayonline.com/singapore/schools-childcare-centres-saf-roll-out-measures-prevent-spread-wuhan-virus-singapore,2020-23-01,Today Online,auto,2020-01-23
38,Wuhan virus: Singapore confirms first imported case; another suspected case has positive preliminary test,https://www.todayonline.com/singapore/wuhan-virus-singapore-confirms-first-imported-case-another-suspected-case-has-positive,2020-23-01,Today,manual,2020-01-23
39,China's latest virus outbreak exposes perils of exotic wildlife trade,https://www.todayonline.com/world/chinas-latest-virus-outbreak-exposes-perils-exotic-wildlife-trade,2020-23-01,Today Online,auto,2020-01-23
40,"Avoid travel to Wuhan, says MOH amid Wuhan’s citywide lockdown",https://www.todayonline.com/singapore/avoid-travel-wuhan-says-moh-amid-wuhans-citywide-lockdown,2020-23-01,Today Online,auto,2020-01-23
41,"Wuhan virus: Authorities ramp up border checks, advise Singaporeans to keep calm and stay vigilant",https://www.todayonline.com/singapore/wuhan-virus-authorities-ramp-border-checks-advise-singaporeans-keep-calm-and-stay-vigilant,2020-24-01,Today Online,auto,2020-01-24
42,Patient suspected of having Wuhan virus taken from Eastpoint Mall to Tan Tock Seng Hospital,https://www.todayonline.com/singapore/patient-suspected-having-wuhan-virus-taken-eastpoint-mall-tan-tock-seng-hospital,2020-24-01,Today Online,auto,2020-01-24
43,Smooth traffic at checkpoints as authorities begin temperature checks,https://www.todayonline.com/singapore/smooth-traffic-checkpoints-authorities-begin-temperature-checks,2020-24-01,Today Online,auto,2020-01-24
44,"Chinese movie releases delayed worldwide, including in S'pore, due to Wuhan virus",https://www.todayonline.com/singapore/7-chinese-movie-releases-including-jackie-chans-vanguard-delayed-worldwide-due-wuhan-virus,2020-24-01,Today Online,auto,2020-01-24
45,This Chinese Actor Cheered On A Terrified Wuhan Doctor; His Fans Then Raised Funds For The City,https://www.todayonline.com/8days/sceneandheard/entertainment/chinese-actor-cheered-terrified-wuhan-doctor-his-fans-then-raised,2020-24-01,Today,manual,2020-01-24
46,"Many in China wear them, but do masks block coronavirus?",https://www.todayonline.com/world/many-china-wear-them-do-masks-block-coronavirus,2020-24-01,Today,manual,2020-01-24
47,"Wuhan virus: Singapore confirms 2 more imported cases, day after first patient tested positive",https://www.todayonline.com/singapore/wuhan-virus-singapore-confirms-2-more-imported-cases-hours-after-first-man-tested-positive,2020-24-01,Today,manual,2020-01-24
48,"Wuhan virus: ICA begins temperature screening at Woodlands, Tuas checkpoints",https://www.todayonline.com/singapore/wuhan-virus-ica-begins-temperature-screening-woodlands-tuas-checkpoints,2020-24-01,Today,manual,2020-01-24
49,Retailers bumping up supply of face masks as sales soar in a week due to Wuhan virus,https://www.todayonline.com/singapore/retailers-bumping-supply-face-masks-sales-soar-week-due-wuhan-virus,2020-24-01,Today Online,auto,2020-01-24
50,"Be calm but watchful, urges PM Lee in CNY message after first confirmed case of Wuhan virus in S’pore",https://www.todayonline.com/singapore/be-calm-watchful-pm-lee-urges-cny-message-after-first-confirmed-case-wuhan-virus-spore,2020-24-01,Today,manual,2020-01-24
