index,headline,source_url,publish_date,publisher,crawl_type
35,"SDP calls on public not to produce and spread of fake news, rumours about Wuhan virus outbreak",http://theindependent.sg/sdp-calls-on-public-not-to-produce-and-spread-of-fake-news-rumours-about-wuhan-virus-outbreak,29/01/2020,The Independent Singapore,manual
36,"WP politician on Wuhan virus: “Every once in a while, the world will face new unknown and deadly viruses”",http://theindependent.sg/wp-politician-on-wuhan-virus-every-once-in-a-while-the-world-will-face-new-unknown-and-deadly-viruses,29/01/2020,The Independent Singapore,manual
37,Lawrence Wong tells Singaporeans to be “psychologically prepared” for Wuhan outbreak,http://theindependent.sg/lawrence-wong-tells-singaporeans-to-be-psychologically-prepared-for-wuhan-outbreak,29/01/2020,The Independent Singapore,manual
38,Man arrested in Malaysia for spreading fake news about Wuhan virus,http://theindependent.sg/man-arrested-in-malaysia-for-spreading-fake-news-about-wuhan-virus,29/01/2020,The Independent Singapore,manual
39,PM Lee says Singapore is well prepared to deal with the Wuhan virus,http://theindependent.sg/pm-lee-says-singapore-is-well-prepared-to-deal-with-the-wuhan-virus,29/01/2020,The Independent Singapore,manual
40,"Wuhan virus: WP urges public to “not give in to fear-mongering by speculating, spreading rumours”",http://theindependent.sg/wuhan-virus-wp-urges-public-to-not-give-in-to-fear-mongering-by-speculating-spreading-rumours,29/01/2020,The Independent Singapore,manual
41,"Travel restrictions for those travelling from Hubei effective 12pm, Jan 29",http://theindependent.sg/travel-restrictions-for-those-travelling-from-hubei-effective-12pm-jan-29,29/01/2020,The Independent Singapore,manual
42,Dr Tan Cheng Bock predicts elections likely to be delayed because of Wuhan virus,http://theindependent.sg/dr-tan-cheng-bock-predicts-elections-likely-to-be-delayed-because-of-wuhan-virus,29/01/2020,The Independent Singapore,manual
43,China virus fears prompt homemade barricades and online shaming,http://theindependent.sg/china-virus-fears-prompt-homemade-barricades-and-online-shaming,30/01/2020,The Independent Singapore,manual
44,Stranded in Wuhan: foreigners raise call for help in virus epicentre,http://theindependent.sg/stranded-in-wuhan-foreigners-raise-call-for-help-in-virus-epicentre,30/01/2020,The Independent Singapore,manual
45,Changi Airport and Workforce Singapore allegedly disallow front-line staff from wearing masks,http://theindependent.sg/changi-airport-and-workforce_-singapore-allegedly-disallow-front-line-staff-from-wearing_-masks/,30/01/2020,The Independent Singapore,manual
46,Gov’t to distribute 4 masks to every household in Singapore starting Feb 1,http://theindependent.sg/govt-to-distribute-4-masks-to-every-household-in-singapore-starting-feb-1,30/01/2020,The Independent Singapore,manual
47,Chinese billionaire Jack Ma to donate 100 million yuan to help find Wuhan coronavirus vaccine,http://theindependent.sg/chinese-billionaire-jack-ma-to-donate-100-million-yuan-to-help-find-wuhan-coronavirus-vaccine,30/01/2020,The Independent Singapore,manual
48,New YouGov poll shows that 3 out of 5 Singaporeans are afraid of contracting the Wuhan virus,http://theindependent.sg/new-yougov-poll-shows-that-3-out-of-5-singaporeans-are-afraid-of-contracting-the-wuhan-virus,30/01/2020,The Independent Singapore,manual
49,Tan Chuan-Jin on fake Wuhan news: “This is not a political game that is unfolding is it?”,http://theindependent.sg/tan-chuan-jin-on-fake-wuhan-news-this-is-not-a-political-game-that-is-unfolding-is-it,30/01/2020,The Independent Singapore,manual
50,Woman spotted wearing plastic water bottle as mask in Vancouver International Airport,http://theindependent.sg/woman-spotted-wearing-plastic-water-bottle-as-mask-in-vancouver-international-airport,30/01/2020,The Independent Singapore,manual
51,Another 3 confirmed Wuhan virus cases bring total to 10 in Singapore,http://theindependent.sg/another-3-confirmed-wuhan-virus-cases-bring-total-to-10-in-singapore,30/01/2020,The Independent Singapore,manual
52,Airlines curb or cancel China flights,http://theindependent.sg/airlines-curb-or-cancel-china-flights,31/01/2020,The Independent Singapore,manual
53,Chinese planes to bring overseas Wuhan citizens back to virus-hit city,http://theindependent.sg/chinese-planes-to-bring-overseas-wuhan-citizens-back-to-virus-hit-city,31/01/2020,The Independent Singapore,manual
54,Q&A: Evacuations from China’s virus-hit Wuhan,http://theindependent.sg/qa-evacuations-from-chinas-virus-hit-wuhan,31/01/2020,The Independent Singapore,manual
55,Correction Direction to website with fake news about Singaporeans contracting Wuhan virus,http://theindependent.sg/correction-direction-to-website-with-fake-news-about-singaporeans-contracting-wuhan-virus,31/01/2020,The Independent Singapore,manual
56,WHO declares novel coronavirus outbreak a global public health emergency,http://theindependent.sg/who-declares-novel-coronavirus-outbreak-a-global-public-health-emergency,31/01/2020,The Independent Singapore,manual
57,NYT writer says world is suffering because Xi govt delayed announcing Wuhan virus outbreak,http://theindependent.sg/nyt-writer-says-world-is-suffering-because-xi-govt-delayed-announcing-wuhan-virus-outbreak,31/01/2020,The Independent Singapore,manual
58,Malaysian singer Ika Mustafa cleared of coronavirus,http://theindependent.sg/malaysian-singer-ika-mustafa-cleared-of-coronavirus,31/01/2020,The Independent Singapore,manual
59,"Changi Airport clarifies, says “CAG does not restrict the wearing of masks by those on duty at the airport”",http://theindependent.sg/changi-airport-clarifies-says-cag-does-not-restrict-the-wearing-of-masks-by-those-on-duty-at-the-airport,31/01/2020,The Independent Singapore,manual
60,"Pilots, airline staff demand halt to China flights as virus death toll rises",http://theindependent.sg/pilots-airline-staff-demand-halt-to-china-flights-as-virus-death-toll-rises,31/01/2020,The Independent Singapore,manual
61,Experts say masks are unnecessary if you are well,http://theindependent.sg/experts-say-masks-are-unnecessary-if-you-are-well,31/01/2020,The Independent Singapore,manual
62,Xenophobia on the rise as Wuhan coronavirus spreads,http://theindependent.sg/xenophobia-on-the-rise-as-wuhan-coronavirus-spreads,31/01/2020,The Independent Singapore,manual
