index,headline                                                                                                                          ,source_url                                                                                           ,publish_date,publisher
32   ,Coronavirus transforms daily life on Hong Kong's fearful streets                                                                  ,/asia/east-asia/coronavirus-transforms-daily-life-on-hong-kongs-fearful-streets                      ,2020-02-10  ,The Straits Times
33   ,"Qatar, Kuwait advise citizens to avoid unnecessary travel to Singapore"                                                          ,/world/middle-east/coronavirus-qatar-kuwait-advise-citizens-to-avoid-travel-to-singapore             ,2020-02-10  ,The Straits Times
34   ,Singapore scientists aim to test coronavirus vaccine in as soon as 4 months                                                       ,/singapore/health/coronavirus-scientists-here-aim-to-test-vaccine-in-as-soon-as-3-months             ,2020-02-10  ,The Straits Times
35   ,At least 66 more people confirmed with coronavirus on cruise ship in Japan                                                        ,/asia/east-asia/sixty-more-people-confirmed-with-coronavirus-on-cruise-ship-in-japan                 ,2020-02-10  ,The Straits Times
36   ,"Coronavirus: Two companies giving out face masks and hand sanitisers to 5,000 senior citizens"                                   ,/singapore/health/coronavirus-two-companies-giving-out-face-masks-and-hand-sanitisers-to-5000-senior ,2020-02-10  ,The Straits Times
37   ,In Pictures: How people are coping with the coronavirus outbreak                                                                  ,/multimedia/photos/in-pictures-how-people-are-coping-with-the-coronavirus-outbreak                   ,2020-02-10  ,The Straits Times
38   ,Coronavirus: China introduces close contact detection app                                                                         ,/asia/east-asia/coronavirus-china-introduces-close-contact-detection-app                             ,2020-02-10  ,The Straits Times
39   ,Coronavirus outbreak to hit Asia's semiconductor industry in February and March: Citi                                             ,/business/economy/coronavirus-outbreak-to-hit-asias-semiconductor-industry-in-february-and-march-citi,2020-02-10  ,The Straits Times
40   ,"Coronavirus: Hubei province reveals fatality rate for first time, Wuhan comes in second at 4.06%"                                ,/asia/east-asia/coronavirus-hubei-province-reveals-fatality-rate-for-first-time-wuhan-comes-in-second,2020-02-10  ,The Straits Times
41   ,'Nightmare' for global tech with coronavirus fallout just beginning                                                               ,/business/economy/nightmare-for-global-tech-with-coronavirus-fallout-just-beginning                  ,2020-02-10  ,The Straits Times
42   ,Coronavirus: Honestbee supermarket in Pasir Panjang to close until Feb 23; grocery deliveries unaffected                          ,/singapore/coronavirus-honestbee-supermarket-in-pasir-panjang-to-close-until-feb-23-grocery          ,2020-02-10  ,The Straits Times
43   ,Shipping is getting smashed by coronavirus in more ways than one                                                                  ,/business/companies-markets/shipping-is-getting-smashed-by-coronavirus-in-more-ways-than-one         ,2020-02-10  ,The Straits Times
44   ,"Coronavirus may have infected 500,000 in Wuhan by peak in coming weeks"                                                          ,/asia/east-asia/coronavirus-may-have-infected-500000-in-wuhan-by-peak-in-coming-weeks                ,2020-02-10  ,The Straits Times
45   ,Pat's Schoolhouse Kovan linked to coronavirus case deserted on Monday morning                                                     ,/singapore/health/pats-schoolhouse-kovan-linked-to-coronavirus-case-deserted-on-monday-morning       ,2020-02-10  ,The Straits Times
46   ,China's hurting banks brace for worst-case economic scenario                                                                      ,/business/economy/chinas-hurting-banks-brace-for-worst-case-economic-scenario                        ,2020-02-10  ,The Straits Times
47   ,Long queues form on first day of temperature screening at office buildings                                                        ,/singapore/coronavirus-long-queues-formed-at-suntec-city-and-raffles-place-on-first-day-of           ,2020-02-10  ,The Straits Times
48   ,HSBC offers $5.4b in loan relief to Hong Kong firms                                                                               ,/business/banking/hsbc-offers-54b-in-loan-relief-to-hong-kong-firms                                  ,2020-02-10  ,The Straits Times
49   ,ICU doctors in China bear the brunt as coronavirus causes rapid deterioration in patients                                         ,/asia/east-asia/icu-doctors-in-china-bear-the-brunt-as-coronavirus-causes-rapid-deterioration-in     ,2020-02-10  ,The Straits Times
50   ,Asia markets pare losses as China returns to work but sentiment jittery: STI down 0.6%                                            ,/business/companies-markets/asia-stocks-drop-as-coronavirus-spreads                                  ,2020-02-10  ,The Straits Times
51   ,China to start issuing $59.6b in loans to firms fighting coronavirus                                                              ,/business/economy/china-offers-596b-in-loans-to-firms-fighting-coronavirus                           ,2020-02-10  ,The Straits Times
52   ,Coronavirus: Hundreds of thousands of overseas Chinese stuck in China as more countries impose travel ban                         ,/asia/east-asia/coronavirus-hundreds-of-thousands-of-overseas-chinese-stuck-in-china-as-more         ,2020-02-10  ,The Straits Times
53   ,WHO chief expresses concern over coronavirus spread from people with no China travel history                                      ,/world/europe/who-chief-expresses-concern-over-coronavirus-spread-from-people-with-no-china-travel   ,2020-02-10  ,The Straits Times
54   ,Coronavirus: China slowly returns to work as death toll hits daily record                                                         ,/asia/east-asia/coronavirus-chinas-hubei-province-reports-91-new-deaths-over-2600-new-cases          ,2020-02-10  ,The Straits Times
55   ,Experts grappling with ways to measure impact on world economy                                                                    ,/business/economy/experts-grappling-with-ways-to-measure-impact-on-world-economy                     ,2020-02-10  ,The Straits Times
56   ,Global retailers take a hit when Chinese consumers stay home                                                                      ,/business/economy/global-retailers-take-a-hit-when-chinese-consumers-stay-home                       ,2020-02-10  ,The Straits Times
57   ,MAS tells banks to take more measures after alert level raised                                                                    ,/business/banking/mas-tells-banks-to-take-more-measures-after-alert-level-raised                     ,2020-02-10  ,The Straits Times
58   ,Forum: Stay strong and united in current difficulties                                                                             ,/forum/stay-strong-and-united-in-current-difficulties                                                ,2020-02-10  ,The Straits Times
59   ,Forum: Inspections stepped up to ensure public toilets are kept clean                                                             ,/forum/inspections-stepped-up-to-ensure-public-toilets-are-kept-clean                                ,2020-02-10  ,The Straits Times
60   ,"Forum: Help needed for small firms, individuals with credit woes"                                                                ,/forum/help-needed-for-small-firms-individuals-with-credit-woes                                      ,2020-02-10  ,The Straits Times
61   ,SPH Chinese Media Group raises $100k for Red Cross                                                                                ,/singapore/sph-chinese-media-group-raises-100k-for-red-cross                                         ,2020-02-10  ,The Straits Times
62   ,Public day tickets for air show capped due to coronavirus                                                                         ,/singapore/public-day-tickets-for-air-show-capped-due-to-coronavirus                                 ,2020-02-10  ,The Straits Times
63   ,Fighting fear with empathy: Lessons from how Africans got blamed for Ebola                                                        ,/opinion/fighting-fear-with-empathy-lessons-from-how-africans-got-blamed-for-ebola                   ,2020-02-10  ,The Straits Times
64   ,The virus scare as a mirror to ourselves and our society                                                                          ,/opinion/cartoons/the-virus-scare-as-a-mirror-to-ourselves-and-our-society                           ,2020-02-10  ,The Straits Times
65   ,Unis plan deferrals as Chinese students face Aussie travel ban                                                                    ,/asia/australianz/unis-plan-deferrals-as-chinese-students-face-aussie-travel-ban                     ,2020-02-10  ,The Straits Times
66   ,"Australia's Chinese, Asian communities targets of racism"                                                                        ,/asia/australianz/australias-chinese-asian-communities-targets-of-racism                             ,2020-02-10  ,The Straits Times
67   ,Singaporeans who live and work in China remain confident                                                                          ,/asia/east-asia/singaporeans-who-live-and-work-in-china-remain-confident                             ,2020-02-10  ,The Straits Times
68   ,Cities around the world announce new travel restrictions                                                                          ,/asia/se-asia/cities-around-the-world-announce-new-travel-restrictions                               ,2020-02-10  ,The Straits Times
69   ,"Lockdown in Wuhan may have caused more infections, says expert"                                                                  ,/asia/lockdown-in-wuhan-may-have-caused-more-infections-says-expert                                  ,2020-02-10  ,The Straits Times
70   ,Patients' detailed activities shed light on links to earlier cases                                                                ,/singapore/patients-detailed-activities-shed-light-on-links-to-earlier-cases                         ,2020-02-10  ,The Straits Times
71   ,Coronavirus: Church in cluster didn't know of Wuhan visitors                                                                      ,/singapore/health/church-in-cluster-didnt-know-of-wuhan-visitors                                     ,2020-02-10  ,The Straits Times
72   ,Firms affected by the coronavirus outbreak                                                                                        ,/business/companies-markets/firms-affected-by-the-outbreak                                           ,2020-02-10  ,The Straits Times
