index,headline,source_url,publish_date,publisher
1183,askST: Should we avoid a mall with a suspected case of the Wuhan virus?,/singapore/health/should-we-avoid-a-mall-with-a-suspected-case,29-01-2020 05:00:00,The Straits Times
1184,"Wuhan virus: PM Lee urges all to practise good hygiene, not to spread rumours",/singapore/pm-lee-urges-all-to-practise-good-hygiene-not-to-spread-rumours,29-01-2020 05:00:00,The Straits Times
1185,"Global sell-off continues, with firms linked to China hit",/business/global-sell-off-continues-with-firms-linked-to-china-hit,29-01-2020 05:00:00,The Straits Times
1186,"Briefs: 1,500 in Britain must isolate themselves",/asia/east-asia/briefs-1500-in-britain-must-isolate-themselves,29-01-2020 05:00:00,The Straits Times
1187,Wuhan virus: Admissions and tests delayed as hospitals in China struggle to cope,/asia/east-asia/admissions-and-tests-delayed-as-hospitals-struggle-to-cope,29-01-2020 05:00:00,The Straits Times
1188,Wuhan virus: Experts fear tens of thousands may be hit,/asia/east-asia/experts-fear-tens-of-thousands-may-be-hit-wuhan-virus,29-01-2020 05:00:00,The Straits Times
1189,Wuhan virus: Germany confirms first case of human transmission in Europe,/world/europe/germany-confirms-first-case-of-human-transmission-in-europe,29-01-2020 05:00:00,The Straits Times
1190,Wuhan virus: Death toll soars as Xi Jinping declares China will overcome outbreak,/asia/east-asia/death-toll-soars-as-xi-declares-china-will-overcome-outbreak,29-01-2020 05:00:00,The Straits Times
1191,Bitcoin climbs to highest level since last November,/business/companies-markets/bitcoin-climbs-to-highest-level-since-last-november,29-01-2020 05:00:00,The Straits Times
1192,Wuhan vurus: Workers' Party urges Singaporeans to heed instructions,/singapore/workers-party-urges-sporeans-to-heed-instructions,29-01-2020 05:00:00,The Straits Times
1193,"Wuhan virus: Enough masks available, no need to rush, says Lam Pin Min",/singapore/enough-masks-available-no-need-to-rush-lam-pin-min,29-01-2020 05:00:00,The Straits Times
1194,Wuhan virus: Singapore to bar entry of new visitors with Hubei history,/singapore/health/singapore-to-bar-entry-of-new-visitors-with-hubei-history,29-01-2020 05:00:00,The Straits Times
1195,Forum: Telemedicine can help prevent local outbreak,/forum/telemedicine-can-help-prevent-local-outbreak,29-01-2020 05:00:00,The Straits Times
1196,Forum: Any safety measures being taken for Chingay parade?,/forum/any-safety-measures-being-taken-for-chingay-parade,29-01-2020 05:00:00,The Straits Times
1197,"Wuhan virus: US developing vaccine to fight deadly China bug, say officials",/world/united-states/wuhan-virus-us-developing-vaccine-to-fight-deadly-china-bug-say-officials,29-01-2020 04:56:00,The Straits Times
1198,Wuhan virus: Britain warns nationals against visiting mainland China,/world/europe/wuhan-virus-britain-warns-nationals-against-visiting-mainland-china,29-01-2020 03:50:00,The Straits Times
1199,Wuhan virus: France confirms fourth case of coronavirus in elderly Chinese tourist,/world/europe/france-confirms-fourth-case-of-coronavirus-in-elderly-chinese-tourist,29-01-2020 02:33:00,The Straits Times
1200,Wuhan virus: China agrees to WHO sending experts to study virus,/asia/east-asia/wuhan-virus-china-agrees-to-who-sending-experts-to-study-virus,29-01-2020 01:52:00,The Straits Times
1201,"Wuhan virus: France, EU to airlift citizens from virus-hit Chinese city",/world/europe/eu-citizens-to-be-airlifted-out-of-virus-hit-city-in-china,29-01-2020 01:16:00,The Straits Times
1202,Wuhan virus: US asks China for 'more cooperation and transparency',/world/united-states/wuhan-virus-us-asks-china-for-more-cooperation-and-transparency,29-01-2020 01:01:00,The Straits Times
1203,Interactive: What we know so far about the coronavirus,/asia/interactive-what-we-know-so-far-about-the-wuhan-virus,29-01-2020 00:00:00,The Straits Times
1204,"Wuhan virus: NSmen who travelled to China will have ICT deferred, IPPT rescheduled",/singapore/health/wuhan-virus-nsmen-who-travelled-to-china-will-have-ict-deferred-ippt-rescheduled,28-01-2020 22:18:00,The Straits Times
1205,Coronavirus: Singapore's tourism sector preparing for crisis,/singapore/wuhan-virus-singapores-tourism-sector-preparing-for-crisis,28-01-2020 22:16:00,The Straits Times
1206,"Wuhan virus: Outbreak could peak in 10 days, says Chinese government expert",/asia/east-asia/coronavirus-outbreak-could-peak-in-10-days-says-chinese-government-expert,28-01-2020 22:06:00,The Straits Times
1207,"Wuhan virus: WP, SDP, PSP warn about rumours, call on Singaporeans to stay united",/singapore/health/workers-party-calls-for-singapore-to-stay-united-and-to-remain-calm-amid-global,28-01-2020 21:23:00,The Straits Times
1208,Supply of masks in Singapore sufficient: Lam Pin Min,/singapore/supply-of-masks-in-singapore-sufficient-no-need-to-rush-to-buy-them-lam-pin-min,28-01-2020 20:20:00,The Straits Times
